,ep_reward,steps,avg_reward
0,3.7667168651728247,99,3.7667168651728247
1,-253.3827866523874,126,-124.8080348936073
2,-181.98652225635104,82,-143.86753068118855
3,-343.10309388259736,174,-193.67642148154076
4,-290.9923383370593,101,-213.13960485264448
5,-274.17434869386375,187,-223.31206215951434
6,-291.05983375212645,177,-232.99031524417322
7,-315.4789009306626,185,-243.30138845498436
8,-194.1453643917412,142,-237.8396080035129
9,-255.08764897445857,243,-239.56441210060748
10,-196.15326875875394,155,-235.61794452407537
11,-95.23896234711484,224,-223.91969600932865
12,-229.6235263176218,89,-224.35845218688968
13,-303.83071441215276,121,-230.035042345837
14,-151.0764644110767,164,-224.77113715018635
15,-283.9738026997551,161,-228.47130374703437
16,-239.07027105399527,148,-229.09477241214972
17,-213.06975164097017,132,-228.2044934804175
18,-183.75375506095392,93,-225.8649809320247
19,-308.46290899716143,87,-229.99487733528153
20,-565.8638036155938,76,-245.9886357295821
21,-205.69105962006398,184,-244.156927724604
22,-175.94994183180043,80,-241.19140659882993
23,-181.37026575727674,110,-238.6988590637652
24,-242.9847299432171,137,-238.87029389894326
25,-194.72169419675487,92,-237.17227083347447
26,-193.1816595958607,92,-235.54298893578508
27,-252.37174260086607,107,-236.1440158523951
28,-255.8067704851706,95,-236.82204187421496
29,-173.47826211128427,107,-234.71058254878395
30,-177.23625609104337,98,-232.8565720178891
31,-236.40759531853254,103,-232.9675414960342
32,-215.90334778543627,136,-232.45044471692518
33,-201.26239107533354,116,-231.53314902158422
34,-123.8982507670099,127,-228.45786621431068
35,-211.7297739620938,112,-227.99319698508245
36,-182.8861011126244,101,-226.77408628582683
37,-161.6126643478612,75,-225.05931202430145
38,-201.15578461100284,135,-224.44640106498608
39,-89.59797106930179,106,-221.07519031509395
40,-201.57431907697924,97,-220.5995593092863
41,-269.2079946920496,180,-221.75690300887587
42,-184.23580922264154,97,-220.88431943245183
43,-151.73545531915045,85,-219.31275433896772
44,-202.41501762809364,97,-218.93724907872607
45,-201.73577928104953,97,-218.5633040831244
46,-13.861806346231617,89,-214.2079530674458
47,-229.81077128696475,108,-214.5330117803525
48,-48.382076793143256,101,-211.14217637245028
49,-176.91841252253175,125,-210.45770109545188
50,-247.15982765031626,138,-211.17735063574332
51,-147.79392817933632,121,-209.95843866542782
52,-111.18868432852206,240,-208.09485839492018
53,-224.66176252548206,100,-208.40165291585652
54,-224.03938689628455,84,-208.68597535186427
55,-111.59881430223471,123,-206.95227604740663
56,-103.45889780371326,255,-205.1366027448857
57,-245.01474016564546,170,-205.82415683834705
58,-143.7647105025363,131,-204.77230181570621
59,-124.32552901560393,119,-203.43152226903786
60,-101.63716049221188,194,-201.76276223990956
61,-143.47208323854377,89,-200.82258999795206
62,-180.91897966158632,180,-200.5066596751526
63,-330.8015342732609,159,-202.542517090748
64,-184.6032481356821,293,-202.26652833759312
65,-191.70347250912636,151,-202.1064820371618
66,-59.58206635044351,256,-199.97925195228544
67,-199.3471126274011,102,-199.96995578574302
68,-223.07518382251243,141,-200.3048141630875
69,-161.1081077603203,140,-199.74486121447657
70,-73.30864263901864,143,-197.96406940355462
71,-227.34749614946708,103,-198.37217255280336
72,-96.24355491345496,117,-196.97315039336024
73,-109.2201055127495,101,-195.78729843551417
74,-199.6646596713581,275,-195.83899658532542
75,-62.335370013237636,115,-194.08236991990321
76,-203.627277055938,165,-194.2063297528387
77,-140.10215521381622,179,-193.5126864895179
78,-206.32067970825904,83,-193.67481298595766
79,-219.52970973326774,160,-193.99799919529906
80,-108.26590879215017,85,-192.93957832612438
81,-107.68950840352876,187,-191.89994332706834
82,-210.01525126905761,83,-192.118200049261
83,-218.94690603075622,138,-192.43758940618355
84,-87.24252110280827,76,-191.2000003673203
85,-106.91799097156773,72,-190.21997700225342
86,-169.41070533724752,243,-189.98078997162114
87,-196.7529221682762,96,-190.05774601931043
88,-222.10717361382518,126,-190.41785194733868
89,-68.73288446859206,198,-189.06579675313037
90,-84.15721178156579,123,-187.91295516003626
91,-93.48135863928604,103,-186.88652476307158
92,-211.27754077384722,143,-187.14879375243476
93,-234.21437423043875,139,-187.6494914170944
94,-217.44584825716439,94,-187.9631372785688
95,-180.18302311164675,126,-187.88209442266336
96,-222.2162828727442,108,-188.2360551283343
97,-204.43920916758373,95,-188.40139343485725
98,-220.4277488776363,187,-188.7248919746833
99,-190.45546412035168,83,-188.74219769613995
100,-64.47165676014268,239,-189.42458143239313
101,-174.5596201830681,153,-188.6363497676999
102,-242.03816278911825,69,-189.23686617302758
103,-66.12000070991986,83,-186.46703524130083
104,-114.2004643473577,108,-184.69911650140384
105,-70.65659965087053,93,-182.6639390109739
106,-99.58059142322979,121,-180.74914658768495
107,-125.79157442339005,97,-178.8522733226122
108,-87.81704026381864,97,-177.78899008133297
109,-70.77304148068264,140,-175.94584400639525
110,-93.62184770361469,132,-174.92052979584386
111,-18.67085172356613,101,-174.15484868960837
112,-81.9236567518129,147,-172.6778499939503
113,-2.8500706972649965,178,-169.66804355680142
114,-97.22406694390769,134,-169.12951958212977
115,-31.179983567334332,217,-166.6015813908055
116,-23.951845859056974,310,-164.4503971388561
117,-153.26648594300366,439,-163.85236448187644
118,-96.67351443716908,213,-162.9815620756386
119,-42.878864435396565,166,-160.32572163002095
120,-64.12956043910292,313,-155.30837919825606
121,-136.40479706870568,543,-154.61551657274248
122,-62.965705445749805,999,-153.48567420888196
123,-81.57650827542443,999,-152.48773663406342
124,-53.17013662860038,999,-150.58959070091726
125,-59.01871340312792,359,-149.23256089298098
126,154.34190966139846,495,-145.7573252004084
127,-30.164628025415997,999,-143.53525405465388
128,-41.40382553313603,999,-141.39122460513354
129,-6.960810539791849,999,-139.72605008941864
130,-62.14867168304379,999,-138.57517424533862
131,-59.02990961497493,999,-136.80139738830306
132,-28.375968074713363,999,-134.92612359119582
133,16.883520782516005,999,-132.74466447261733
134,19.963603869518323,999,-131.30604592625204
135,187.2277430330552,549,-127.31647075630053
136,-10.541176656910324,999,-125.59302151174339
137,-42.69836355447403,999,-124.40387850380952
138,-26.499783454858605,999,-122.65731849224811
139,-67.363616165218,999,-122.43497494320727
140,-178.8606417719306,254,-122.20783817015679
141,-159.63096694463565,242,-121.11206789268266
142,-125.93600154862193,325,-120.52906981594244
143,-163.92200850891697,214,-120.65093534784012
144,-148.76095004571607,133,-120.11439467201633
145,-169.3681429166512,119,-119.79071830837235
