,ep_reward,avg_reward,steps
0,-173.5083412530186,-173.5083412530186,275
1,-284.21261708992256,-228.8604791714706,106
2,-479.7819922786164,-312.5009835405192,134
3,-453.9927052473139,-347.87391396721785,145
4,-487.8727974691639,-375.8736906676071,75
5,-321.24469219639855,-366.7688575890723,89
6,-429.03810025832684,-375.6644636846801,109
7,-889.4101681790168,-439.88267674647227,207
8,-569.2679190797714,-454.25881478350556,204
9,-194.28682545621064,-428.2616158507761,115
10,-303.7538799210897,-416.9427307662591,149
11,-329.3763393943177,-409.64553148526403,121
12,-300.9793456911378,-401.2865941164851,85
13,-336.5940942132874,-396.6657012662567,79
14,-442.93367720559206,-399.75023299554573,150
15,-221.3529375442713,-388.600402029841,103
16,-334.50786140950936,-385.4184878757038,92
17,-257.3055050072185,-378.3010999385658,170
18,-289.1151914417909,-373.607104754525,107
19,-390.6396740974267,-374.45873322167006,85
20,-240.67676665939257,-368.08816338537116,138
21,-451.79912027392663,-371.8932068803055,92
22,-609.0030128878598,-382.20232888063396,73
23,-360.93922177726495,-381.31636608466016,86
24,-289.79264165346973,-377.6554171074126,160
25,-438.7922172916872,-380.0068324991155,117
26,-401.3272773017574,-380.79647860291703,93
27,-265.6994099215131,-376.68586900715263,132
28,-399.76400072867995,-377.48166665272254,88
29,-292.2699148373473,-374.6412749255433,101
30,-397.53087996088016,-375.37964928152195,117
31,-383.58266153647713,-375.63599341448923,129
32,-400.6401615277891,-376.39369547852857,123
33,-416.9588317430053,-377.58678772160147,114
34,-286.8804793721213,-374.99517891161634,85
35,-289.87263273581766,-372.6306637400664,159
36,-262.27235971305134,-369.6480068744714,235
37,-330.2307312977389,-368.6107101487679,110
38,-394.3082825728999,-369.2696222622072,122
39,-462.77783998041537,-371.6073277051624,92
40,-330.38969294305303,-370.6020195402329,137
41,-279.85483993481535,-368.44137240677054,105
42,-453.2150206657886,-370.41285259884074,114
43,-420.3279785595201,-371.54728727976527,108
44,-238.3995251449025,-368.58844812121276,124
45,-230.50629028457777,-365.5866620812859,123
46,-433.8522834112088,-367.03912210958214,97
47,-309.1054710901799,-365.83217104667796,85
48,-266.8855827819741,-363.8128529188269,113
49,-357.52676746354757,-363.68713120972126,188
50,-439.70545287387193,-365.17768653646937,95
51,-325.8372436434486,-364.4211395577574,108
52,-339.8818533561026,-363.9581341577262,166
53,-602.1207585421881,-368.36855312780875,138
54,-635.2181770575052,-373.2203644719851,145
55,-409.34761347147276,-373.86549391840447,80
56,-549.6511451654425,-376.9494527122122,83
57,-552.270249275917,-379.9722250667588,82
58,-620.9777126594341,-384.05706383951605,125
59,-602.0860997465563,-387.6908811046334,120
60,-612.7923579615389,-391.38106924982856,123
61,-657.1010605652267,-395.6668755613672,121
62,-593.8594069948713,-398.8127887587244,87
63,-588.8931339834451,-401.7827941528607,78
64,-695.7168123915766,-406.30485597191785,88
65,-652.3408578114748,-410.0326741816081,95
66,-669.4057749642986,-413.90391449179754,97
67,-574.4426069561907,-416.26477761627393,69
68,-647.3840459159194,-419.61433222931225,77
69,-517.5958930908914,-421.0140688130491,80
70,-761.1989499616396,-425.8054051672546,124
71,-491.5616392101221,-426.7186861956277,104
72,-566.2281124699116,-428.6297742267823,91
73,-587.5237899200979,-430.77699065507034,145
74,-742.0567957588653,-434.9273880564543,100
75,-781.2029713093128,-439.483645730834,151
76,-678.002397534436,-442.5812918581535,101
77,-736.8705232050397,-446.35423072157516,104
78,-631.6464565697446,-448.6997019348432,80
79,-702.5847733139943,-451.8732653270825,112
80,-605.695950563769,-453.77231082383173,78
81,-615.660765575482,-455.74656027202263,74
82,-532.9529517452536,-456.67675775965193,65
83,-533.0622751963223,-457.58610915770754,71
84,-619.0843399735887,-459.4860883437767,79
85,-656.9225729724111,-461.7818614208539,89
86,-443.778341619392,-461.5749244116417,87
87,-566.0038834448872,-462.7616171279285,77
88,-376.1122817282038,-461.7880290897293,83
89,-765.021415178396,-465.15728893515893,116
90,-587.0941941364633,-466.4972549263821,66
91,-776.822908400898,-469.87035985545293,99
92,-730.2496933912238,-472.67013763540746,92
93,-572.9933085303181,-473.73740541088523,71
94,-599.8315641033814,-475.0647123444905,99
95,-673.3912860769844,-477.1306141542039,95
96,-307.16172988227356,-475.37835761531807,90
97,-143.41552428796228,-471.99098176503895,120
98,-323.78061441698185,-470.49390734738176,104
99,-137.4779620239101,-467.1637478941471,65
100,-282.6510642285534,-468.25517512390235,100
101,-440.31318375851396,-469.8161807905883,120
102,-535.1011622205863,-470.36937249000795,110
103,-495.2534356474541,-470.7819797940094,76
104,-537.478651512731,-471.27803833444517,82
105,-514.7167373714999,-473.21275878619605,71
106,-467.9204977489232,-473.601582761102,67
107,-515.9297344352519,-469.86677842366436,78
108,-507.0903805432936,-469.2450030382995,83
109,-404.2826978739795,-471.34496176247717,101
110,-638.576663436933,-474.69318959763564,104
111,-571.8317639260147,-477.1177438429527,89
112,-365.91613020649265,-477.7671116881062,98
113,-524.5364262923604,-479.6465350088969,81
114,-434.4263311515621,-479.5614615483566,79
115,-476.5434974040476,-482.11336714695443,75
116,-576.7508854324528,-484.53579738718395,89
117,-567.9980559458793,-487.6427228965705,91
118,-653.7377079590995,-491.28894806174355,98
119,-339.27261904618007,-490.7752775112312,87
120,-524.3926850828933,-493.61243669546616,70
121,-528.2253040677012,-494.3766985334039,86
122,-426.00381156280235,-492.5467065201534,100
123,-516.4414506661086,-494.10172880904173,75
124,-480.2252378173898,-496.0060547706809,90
125,-513.5868748006818,-496.7540013457708,97
126,-554.7872356726473,-498.2886009294796,78
127,-545.3463411310308,-501.08507024157484,87
128,-647.9342691962399,-503.5667729262505,88
129,-627.5125350264742,-506.9191991281417,106
130,-538.5234190771414,-508.3291245193044,80
131,-547.0383362196968,-509.96368126613663,69
132,-563.2830548721498,-511.59011019958024,82
133,-638.8394809710111,-513.8089166918603,92
134,-666.016023908338,-517.6002721372223,111
135,-615.9729388262383,-520.8612751981266,85
136,-600.1905467194028,-524.2404570681902,88
137,-484.36910384778565,-525.7818407936907,89
138,-516.782637551527,-527.0065843434769,78
139,-614.887643074585,-528.5276823744186,114
140,-679.4674528152946,-532.0184599731411,112
141,-443.87979084051125,-533.658709482198,78
142,-410.6818356816217,-533.2333776323563,69
143,-552.2664057854025,-534.5527619046153,83
144,-636.189541222391,-538.5306620653901,99
145,-700.6818938468164,-543.2324181010124,123
146,-494.6577634942359,-543.8404729018426,74
147,-684.7409132065904,-547.5968273230068,116
148,-629.4795222915217,-551.2227667181022,112
149,-495.6163735833322,-552.6036627793001,72
150,-499.3070599246394,-553.1996788498077,77
151,-565.2186882687047,-555.5934932960604,106
152,-389.0565765971366,-556.0852405284706,83
153,-657.2581787779405,-556.6366147308282,123
154,-405.74950865017325,-554.3419280467548,76
155,-661.7517440008003,-556.8659693520482,179
156,-640.6935803870527,-557.7763937042643,99
157,-697.265265834526,-559.2263438698504,112
158,-461.0042954171845,-557.626609697428,74
159,-649.1743668605819,-558.0974923685682,105
160,-568.211196013561,-557.6516807490884,86
161,-531.6804003964958,-556.3974741474011,88
162,-427.44913119959625,-554.7333713894483,81
163,-603.7370298635044,-554.8818103482489,104
164,-440.09932728922246,-552.3256354972253,75
165,-421.54594417526886,-550.0176863608633,87
166,-488.8905443238467,-548.2125340544588,87
167,-475.9598960990786,-547.2277069458876,82
168,-612.2207546286301,-546.8760740330147,97
169,-540.0600030732659,-547.1007151328386,76
170,-514.3577078110945,-544.6323027113331,73
171,-484.0660584499467,-544.5573469037314,71
172,-631.760960398725,-545.2126753830195,125
173,-459.2967370376161,-543.9304048541945,86
174,-422.58911023108635,-540.7357279989168,73
175,-460.00972689243633,-537.523795554748,72
176,-580.3711139428365,-536.547482718832,86
177,-626.1392584410735,-535.4401700711924,114
178,-664.2423075560984,-535.7661285810559,127
179,-553.8254081179105,-534.2785349290951,100
180,-490.58164150258824,-533.1273918384834,82
181,-542.2658552202115,-532.3934427349307,103
182,-691.6547646836325,-533.9804608643144,130
183,-622.208752275372,-534.8719256351048,110
184,-446.27588036127156,-533.1438410389818,90
185,-444.83629361972936,-531.022978245455,114
186,-549.4071747199283,-532.0792665764603,108
187,-560.1075177693542,-532.0203029197049,96
188,-582.3976983827041,-534.0831570862499,106
189,-613.7707460482137,-532.5706503949481,99
190,-644.8904835913303,-533.1486132894967,129
191,-494.6370566252364,-530.3267547717401,84
192,-433.67040972910763,-527.3609619351189,81
193,-610.8717036868698,-527.7397458866844,114
194,-657.4568023393551,-528.3159982690443,120
195,-614.7458065306356,-527.7295434735807,107
196,-423.7905163363765,-528.8958313381218,99
197,-415.4533433947288,-531.6162095291894,81
198,-496.4050076233044,-533.3424534612527,90
199,-503.1604428282971,-536.9992782692965,85
200,-732.2933999367245,-541.4957016263783,182
201,-503.2139273875744,-542.1247090626688,130
202,-722.0801855936403,-543.9944992963993,138
203,-490.25203755670657,-543.9444853154918,93
204,-543.3466213366712,-544.0031650137312,107
205,-668.5599564359147,-545.5415972043753,128
206,-702.3562627917632,-547.8859548548038,135
207,-378.61190742696715,-546.512776584721,90
208,-1025.3017960416223,-551.6948907397043,242
209,-552.7179985150392,-553.1792437461149,98
210,-598.0040150871802,-552.7735172626174,119
211,-467.15777179103816,-551.7267773412676,93
212,-486.08313261881176,-552.9284473653908,85
213,-534.5896243005699,-553.0289793454729,115
214,-623.8106681275001,-554.9228227152323,146
215,-454.9988757464416,-554.7073764986562,90
216,-294.8579518656604,-551.8884471629883,84
217,-633.3586083547574,-552.5420526870771,128
218,-536.288340540508,-551.3675590128911,112
219,-542.4359652316307,-553.3991924747456,121
220,-430.8858523782286,-552.4641241476988,120
221,-485.70887328354434,-552.0389598398574,92
222,-621.8080136989363,-553.9970018612188,128
223,-784.9952360802002,-556.6825397153598,172
224,-352.4610440557974,-555.4048977777437,104
225,-560.4219193091052,-555.873248222828,107
226,-435.88807919765674,-554.6842566580781,105
227,-394.7832910798145,-553.1786261575659,91
228,-1388.3457310885642,-560.5827407764892,350
229,-560.6795574434428,-559.9144110006589,117
230,-392.00210610801474,-558.4491978709675,96
231,-639.5445304862632,-559.3742598136332,154
232,-281.7568784655474,-556.5589980495672,110
233,-338.5728199921454,-553.5563314397785,99
234,-464.6059302319885,-551.542230503015,125
235,-357.6808176211521,-548.9593092909641,95
236,-514.1520609441898,-548.098924433212,165
237,-141.29277125237525,-544.6681611072579,104
238,-401.7729351034877,-543.5180640827775,128
239,-440.5135195627188,-541.7743228476588,112
240,-461.70617892216154,-539.5967101087276,166
241,-322.1237899360205,-538.3791500996826,110
242,-171.99540707409062,-535.9922858136074,349
243,-377.67578781439977,-534.2463796338974,130
244,-310.9192101656804,-530.9936763233302,99
245,-121.39036552313081,-525.2007610400934,53
246,-264.8056807637406,-522.9022402127885,105
247,-117.88859267327703,-517.2337170074553,62
248,-136.1187819585876,-512.300109604126,58
249,-135.39426319888324,-508.69788850028146,77
250,-87.36015392657303,-504.57841944030076,51
251,-113.52203168459965,-500.06145287445986,52
252,-152.3065268638156,-497.69395237712655,143
253,-106.36593200251471,-492.18502990937236,75
254,1.3474633614436726,-488.1140601892561,108
255,-206.68780969771854,-483.56342084622537,111
256,-251.47680160592964,-479.6712530584141,106
257,-249.68992323530813,-475.1954996324219,97
258,-222.6300812384385,-472.8117574906344,102
259,-149.36147208050738,-467.81362854283367,77
260,-166.4937424962577,-463.7964540076606,74
261,-111.21345448634085,-459.5917845485591,60
262,-138.9847900995984,-456.70714113755906,66
263,-123.5680725997154,-451.90545156492124,81
264,-105.14605561665394,-448.5559188481956,60
265,-146.71165884822102,-445.8075759949251,70
266,-154.7150366587286,-442.46582091827395,94
267,-138.196764001409,-439.08818959729723,59
268,-151.27313296980915,-434.478713380709,61
269,-33.20693024893501,-429.41018265246566,226
270,-140.21878590575727,-425.6687934334123,71
271,-139.06133238077842,-422.21874617272056,86
272,-156.81538756265581,-417.46929044435996,164
273,-159.50912617942402,-414.47141433577804,93
274,-26.92191873447358,-410.5147424208119,176
275,-80.15243610720935,-406.71616951295954,129
276,-108.94210842148242,-402.00187945774604,89
