,ep_reward,steps,avg_reward
0,-95.87585787139962,90,-95.87585787139962
1,-668.5705591316611,118,-382.22320850153034
2,-429.74402427503935,151,-398.0634804260333
3,-130.87314725660752,126,-331.2658971336769
4,-977.4676816065454,147,-460.5062540282506
5,-390.5842013939348,202,-448.85257858919795
6,-127.23606456558784,59,-402.9073623001108
7,-106.66314105503255,58,-365.87683464447605
8,-166.0206462265613,69,-343.67059148693
9,-150.93240106060472,57,-324.3967724442974
10,-231.46596241522755,81,-315.9485169871093
11,-453.4842218467291,91,-327.40982572541094
12,-569.8658559793411,75,-346.0602895910979
13,-534.0829792014576,68,-359.4904817061236
14,-538.9528337022647,76,-371.45463850586634
15,-651.4938397979596,79,-388.9570885866221
16,-690.6697503124298,80,-406.70489221755196
17,-471.80918213728967,61,-410.32179721309296
18,-776.2339381078967,75,-429.5803309443984
19,-509.9664924561557,64,-433.5996390199863
20,-883.4482301369593,86,-455.02100050174687
21,-919.1289973614914,88,-476.11681854082616
22,-507.4020398542791,67,-477.47704555445455
23,-891.0267206842647,85,-494.7082820181967
24,-859.4557230746976,77,-509.29817966045675
25,-884.2590823942161,88,-523.7197528425244
26,-754.0048180599798,72,-532.2488293320598
27,-595.1223151291342,62,-534.4943109676695
28,-750.3867183654024,86,-541.9388767400052
29,-755.4980236691059,75,-549.0575149709751
30,-634.8509830671323,67,-551.8250461998834
31,-931.6054727423542,91,-563.6931845293357
32,-901.8115693821926,89,-573.9391961915435
33,-848.0524578759065,87,-582.0013509469659
34,-582.8363252940709,63,-582.0252073568832
35,-480.7188710768233,68,-579.2111424602149
36,-592.2463715928446,62,-579.563445950286
37,-446.48595845057184,69,-576.0614068055568
38,-964.2840342046518,105,-586.0158331491233
39,-451.37756074970065,94,-582.6498763391376
40,-507.2003564243418,76,-580.8096441460938
41,-766.1342585602262,76,-585.222134965478
42,-624.945344505447,67,-586.1459305361749
43,-442.73935548021893,80,-582.886690193994
44,-953.8568726065101,93,-591.1304720253833
45,-777.3818151607835,79,-595.1794142674572
46,-1045.3208067966623,105,-604.7568907042488
47,-546.7600684501895,70,-603.548623573956
48,-731.079306400642,72,-606.151290570419
49,-924.2694492040049,86,-612.5136537430907
50,-582.2705388446216,97,-611.9206514901796
51,-299.2565379710702,91,-605.9078800763505
52,-228.60414086551168,126,-598.7889416006743
53,-274.08998065451755,270,-592.7759978794492
54,-153.79853187971344,155,-584.7945894067267
55,-21.69485733361339,500,-574.7392370482783
56,-254.2570224718235,392,-569.1167420557089
57,-443.9138456649937,92,-566.9580714282828
58,-35.521421455489225,500,-557.9506705812862
59,-66.7193086242868,500,-549.7634812153361
60,-6.637533909759114,500,-540.8597771611463
61,-114.19748827746423,363,-533.9781273404418
62,-478.5162704135993,99,-533.0977804050951
63,-121.60812590614057,389,-526.668254553549
64,-145.5004835695929,315,-520.8041349999497
65,-130.00123497662668,343,-514.8828789389902
66,-127.22918003041357,327,-509.09700283587716
67,-142.16977893691092,322,-503.7010142491277
68,-348.6266457802361,303,-501.45355963363653
69,-224.07284877628956,104,-497.4909780499601
70,-60.31247251236513,500,-491.333534309994
71,-165.14839505235813,276,-486.80318515363797
72,-90.25656237583455,500,-481.3710396361338
73,-204.8746352578916,234,-477.6346017391305
74,-222.45127724393922,311,-474.232157412528
75,-152.0437119127406,500,-469.99283576121496
76,-54.92276639622714,500,-464.6023153798515
77,-164.77376577019422,500,-460.7583596156251
78,22.106640899901333,500,-454.64614441922606
79,-237.66308640551964,126,-451.9338561940547
80,-221.8120996363741,128,-449.0928468538364
81,-217.00602215331293,110,-446.2625197233422
82,-179.26070650620372,70,-443.0456304074731
83,-169.4550014125184,142,-439.7885991099141
84,-70.17233126753602,500,-435.4401724294156
85,-85.7577750997735,500,-431.3740980418616
86,-133.26570711726708,500,-427.94756481284327
87,-109.65058779197764,500,-424.3305537103334
88,-454.82719703588145,495,-424.67321262410366
89,-353.58309673818087,443,-423.88332244759346
90,-122.04016492751445,500,-420.5663646726475
91,-121.15510054704892,500,-417.3118944104127
92,-25.470995244307684,500,-413.09855140862663
93,-129.03227807526065,65,-410.0765697774206
94,34.1379829021556,500,-405.4006271176356
95,-2.775324429899133,500,-401.2066135479716
96,-126.094471399409,155,-398.3704058969555
97,-114.88995052884964,125,-395.4777481891177
98,-53.337616862093725,90,-392.02178726662254
99,-134.23868135105363,134,-389.44395620746684
100,-137.02339606005708,110,-389.8554315893535
101,-8.190209875067085,500,-383.25162809678744
102,-371.35237863378745,354,-382.667711640375
103,-224.74129312765018,217,-383.6063930990853
104,-42.80257830026022,500,-374.2597420660225
105,-80.92627718197056,72,-371.16316282390284
106,-7.596779903360733,500,-369.9667699772806
107,-369.7086549272136,216,-372.5972251160024
108,-432.74425193051525,273,-375.264461173042
109,-96.28833410041712,234,-374.7180205034401
110,-63.928355075515974,500,-373.042644430043
111,-119.57451237050189,500,-369.7035473352807
112,-353.2365903966888,279,-367.53725467945407
113,-129.40170845347552,255,-363.4904419719743
114,-214.20563839054188,121,-360.2429700188571
115,-157.59941028562446,156,-355.3040257237338
116,-118.26254132456081,171,-349.5799536338551
117,-217.3959143679898,154,-347.0358209561621
118,-95.84351637254527,139,-340.23191673880865
119,-41.972722814135594,500,-335.5519790423883
120,11.938202922139501,500,-326.59811471179734
121,-56.04500179019782,500,-317.9672747560844
122,-21.035693693147316,500,-313.1036112944731
123,-207.4421656035175,437,-306.2677657436656
124,-43.59239844211118,500,-298.1091324973397
125,-57.36028006197578,500,-289.84014447401734
126,58.94081590254987,125,-281.71068813439206
127,-0.9714376986035145,500,-275.7691793600867
128,-21.729061899206844,500,-268.4826027954248
129,16.435179848380407,500,-260.76327076024995
130,-99.69151084663423,500,-255.41167603804493
131,-94.96910040315393,500,-247.045312314653
132,-169.64766000669533,497,-239.723673220898
133,-222.72823768906088,317,-233.47043101902958
134,-265.2509707007589,279,-230.29457747309644
135,-223.7074911554438,121,-227.72446367388264
136,-205.86938446492684,98,-223.86069380260346
137,-205.07042464641535,101,-221.44653846456188
138,3.9728216365840243,500,-211.76396990614955
139,-177.16476278935835,460,-209.02184192654607
140,-129.8144463324627,500,-205.2479828256273
141,-980.8032432872607,489,-207.39467267289766
142,-155.65281380223547,151,-202.70174736586557
143,-21.08755444981123,500,-198.48522935556147
144,-19.382735938036937,500,-189.14048798887674
145,-224.54305144594372,313,-183.61210035172834
146,-268.88589926691157,98,-175.84775127643087
147,-293.80421323796315,166,-173.31819272430857
148,-249.6622116531085,108,-168.5040217768332
149,-3.0360530845976603,500,-159.29168781563914
150,65.51374523889284,500,-152.81384497480397
151,-262.2743406798912,117,-152.4440230018922
