,ep_reward,avg_reward,steps
0,-55.85930147463634,-55.85930147463634,73
1,-1343.2756336722396,-699.567467573438,346
2,-654.3403995131038,-684.4917782199932,79
3,-583.0020073086591,-659.1193354921597,66
4,-1276.2936755863095,-782.5542035109896,109
5,-349.0780912732251,-710.3081848046955,93
6,-1562.2936882940521,-832.0203995888894,123
7,-1478.2938011807041,-912.8045747878662,115
8,-874.9066351794307,-908.5936926091512,78
9,-757.8289226994918,-893.5172156181852,66
10,-1205.261292331528,-921.8575862284891,94
11,-1224.7082430475236,-947.0951409634087,96
12,-1037.8751290501273,-954.0782169700794,86
13,-499.58831465792366,-921.6146525192111,72
14,-815.7381585083241,-914.556219585152,73
15,-733.158159278422,-903.2188408159814,63
16,-810.9036527350949,-897.7885356347527,72
17,-856.380697879761,-895.4881002039198,74
18,-1031.1431364802665,-902.6278389553064,84
19,-747.9839304678263,-894.8956435309325,82
20,-634.5232997587335,-882.496960494161,66
21,-927.8413882623836,-884.5580708472621,77
22,-1292.7593761650076,-902.305953687164,252
23,-696.8689469706087,-893.7460784073077,68
24,-883.0825569164979,-893.3195375476753,91
25,-1475.3214569931786,-915.7042267571177,111
26,-1038.2815492341308,-920.2441275895997,87
27,-684.2736365246668,-911.8166100515664,70
28,-660.0965161933627,-903.1366068150767,78
29,-591.7231366818181,-892.7561578106347,64
30,-1115.8781893871733,-899.9536427002006,107
31,-788.0329805853879,-896.4561220091125,68
32,-1576.5684729123984,-917.0655871879999,121
33,-987.1498886487108,-919.1268901721385,80
34,-1094.2714707701089,-924.1310210463662,87
35,-695.1316103541906,-917.7699263049168,64
36,-742.3243271262688,-913.0281533541425,80
37,-1035.9304517117648,-916.2624243635537,92
38,-1390.788234123111,-928.4297528189269,100
39,-1553.0037187446476,-944.04410196707,111
40,-860.5777036828562,-942.0083361552599,75
41,-250.62964035099674,-925.5469386361108,142
42,-325.0489895602791,-911.581870052952,219
43,-110.83145853837095,-893.3829970639842,157
44,-244.38265517682763,-878.9607672442696,142
45,-234.45106200690884,-864.9496866956315,123
46,-55.35231989729465,-847.7242108063052,152
47,-228.03801100889245,-834.814081643859,152
48,-128.538253486477,-820.4002892324838,131
49,-65.0106213688554,-805.2924958752113,125
50,-60.420930421989205,-790.6871710624031,153
51,-159.81429032721357,-778.5550002790341,77
52,-318.4332955667076,-769.8734586806883,120
53,-65.48686496718835,-756.8292625008087,151
54,-324.863155148728,-748.9753332762255,164
55,-33.47209982705351,-736.1984898217758,112
56,-34.933735318624855,-723.8955993918959,129
57,-508.89026793651675,-720.1886109185274,127
58,-431.70973639523055,-715.2991384689799,235
59,-567.2415945198844,-712.8315127364949,109
60,-551.3715758413821,-710.1846285250996,229
61,-1176.2809824556734,-717.7023116530121,186
62,-310.2965199286858,-711.2355530542133,97
63,-924.6717993166379,-714.5704944020637,191
64,-731.2849415760876,-714.8276397432024,206
65,-1819.8289847866822,-731.5700843650734,169
66,-821.6988304058343,-732.9152895298608,174
67,-427.76135330071673,-728.4277316441381,130
68,-1232.9833743013007,-735.7401322623579,198
69,-608.429164752501,-733.9214041550742,132
70,-617.7209389006382,-732.284777883885,150
71,-514.942707671501,-729.2661380198241,162
72,-499.86567981259816,-726.1236659895881,155
73,-676.9799070543268,-725.4595611391115,158
74,-370.81942306228603,-720.7310259647538,246
75,-317.67116761791783,-715.4276067759797,101
76,-563.3534875487326,-713.4526182145869,170
77,-363.37294979274003,-708.9644173373837,142
78,-319.99194286983686,-704.0407151289337,85
79,-690.191241539168,-703.8675967090618,112
80,-328.15528875666524,-699.2291731540939,106
81,-437.34948669350257,-696.0355184411599,225
82,-438.72398097228114,-692.9353794355106,141
83,-149.3045476509955,-686.4635838190284,122
84,-480.11059964285846,-684.0359016522499,108
85,-268.3893572233614,-679.2028022984257,82
86,-399.5994481186907,-675.9889706411874,132
87,-285.6872155995801,-671.5537234248054,102
88,-507.4504352127202,-669.7098662538831,141
89,-304.80043445800675,-665.6553170117066,194
90,-340.06762799073124,-662.0774303191685,359
91,-616.3613872733171,-661.5805168078006,169
92,-278.33621024431,-657.4596102856125,178
93,-289.7676910027785,-653.5479941230292,106
94,-531.230663284093,-652.260443272093,106
95,-256.6306428688908,-648.1392995178929,274
96,-479.3968523601913,-646.399686660597,195
97,-293.61129397503146,-642.7998051025811,95
98,-466.12462231671964,-641.0152072966632,212
99,-421.6094340307228,-638.8211495640039,147
100,-490.30488026451775,-643.1656053519027,260
101,-426.04765730056334,-633.9933255881859,121
102,-242.48082799172403,-629.8747298729722,264
103,-314.17416457456085,-627.1864514456313,127
104,-575.2145650004801,-620.175660339773,217
105,-551.0676049412617,-622.1955554764533,113
106,-558.2632383443446,-612.1552509769563,307
107,-412.95717362910295,-601.5018847014402,379
108,-447.26105921296977,-597.2254289417756,89
109,-411.96003117962005,-593.7667400265768,140
110,-489.20080686514746,-586.606135171913,170
