,ep_reward,avg_reward,steps
0,-165.80606903415105,-165.80606903415105,71
1,-20.44507914037787,-93.12557408726445,66
2,-293.05301733197626,-159.76805516883505,111
3,-88.32431558754072,-141.90712027351148,83
4,5.460136310609926,-112.43366895668719,95
5,-278.7566870722434,-140.15417197594655,90
6,-128.17238430478025,-138.4424880229228,95
7,-308.0156226970671,-159.63912985719082,231
8,-294.65706405209113,-174.64112254551307,172
9,-301.67948114435234,-187.344958405397,91
10,-296.5725269126531,-197.2747373606021,93
11,-255.94570436585846,-202.16398461104015,108
12,-294.4470571731322,-209.26268250043182,132
13,-32.52261314644515,-196.63839183228993,176
14,-291.9691311777999,-202.99377445532392,98
15,-348.7676174440671,-212.1046396421204,100
16,-393.8807211932784,-222.79735032160028,117
17,-347.6893740465463,-229.73579608409727,87
18,1.0750222982054112,-217.58785827450242,104
19,4.8987386301273546,-206.4635284292709,155
20,-262.7804226598744,-209.14528529739488,124
21,-51.178798821493665,-201.9649904575812,254
22,-232.259705452116,-203.2821519790827,149
23,-233.8333122739561,-204.5551169913691,116
24,-698.8765273501926,-224.327973405722,85
25,-123.11564929770859,-220.43519170925995,177
26,-574.5985518583229,-233.5523531962623,68
27,-431.23580840076,-240.61247659642294,50
28,-496.0546348811368,-249.42082688210272,53
29,-574.2815992724279,-260.24951929511354,62
30,-864.4460556614549,-279.7397301456407,79
31,58.13175127688168,-269.18124635118687,300
32,-119.89727547503392,-264.65748965797013,154
33,-338.12868048735896,-266.8184070353051,89
34,-13.809364612581305,-259.58957725179874,300
35,-259.0929605172502,-259.5757823425057,97
36,-235.3550337176662,-258.92116751480734,104
37,-329.63009949610455,-260.78192888273617,90
38,-175.4331398615774,-258.59349839501414,78
39,-106.82019233975902,-254.79916574363278,106
40,-209.77388898410987,-253.7009882616932,120
41,-237.33240530814956,-253.3112600961326,86
42,-126.48950922025973,-250.36191705250766,300
43,-286.2233240329192,-251.1769490293352,91
44,-263.0223470195589,-251.44018009578463,130
45,-198.03520427856807,-250.27920236062778,93
46,-248.41980568415389,-250.23964072921345,88
47,-52.710357959231764,-246.12444733817213,300
48,-162.0030570268207,-244.40768427059353,88
49,-212.93982646194775,-243.77832711442065,185
50,-196.6534320889486,-242.85430956490157,223
51,-195.6442617745123,-241.946424030471,102
52,-184.71825076722388,-240.8666471764475,83
53,-177.85837666390648,-239.69982735214114,123
54,-260.93289865657744,-240.08588319404,106
55,-206.9424938041775,-239.49403695493532,138
56,-266.80978996135354,-239.97326069189,106
57,-243.53784359259703,-240.03471901776427,107
58,-215.9802272048783,-239.6270157666984,125
59,-203.34481742863449,-239.02231246106402,232
60,22.34450764794631,-234.73761049206388,300
61,-12.950852572654597,-231.16040471917017,98
62,-201.23127476768659,-230.68533916438471,88
63,-221.52982106109758,-230.54228419402085,108
64,-198.32362832352626,-230.046612565244,103
65,-223.37599925074124,-229.94554266653944,125
66,-238.71862651021587,-230.07648421644504,170
67,-64.99172826217975,-227.6487672171176,80
68,-235.6629285357066,-227.7649144826044,115
69,-253.05858146742028,-228.12625258238748,112
70,-189.21965261352545,-227.57827230113588,172
71,-207.25311554966396,-227.2959784573655,82
72,-203.66649528400052,-226.9722869070454,124
73,-166.66047405833797,-226.15726240908992,84
74,-288.74802180408096,-226.99180586768978,99
75,-307.31427345857117,-228.04868044125402,117
76,-293.6235527279,-228.9003021592624,115
77,-208.7644178512328,-228.6421497963389,124
78,-231.09940658393742,-228.67325431263762,136
79,-211.19167425493777,-228.45473456191638,99
80,-187.84212823480453,-227.95334436034713,137
81,-221.67557135604991,-227.87678615297764,93
82,-175.96486921787667,-227.25134137062705,151
83,-348.7655509681598,-228.69793910393102,168
84,-184.54671459218935,-228.17851293320464,143
85,-194.41872462983335,-227.78595725525847,160
86,-26.631441476548442,-225.47383638423878,300
87,-232.80304642577866,-225.55712286198352,132
88,-210.87723113111954,-225.39218025826594,138
89,3.4008375832481335,-222.85003561558244,98
90,-199.72015209241528,-222.5958610713718,146
91,-229.86130737259222,-222.6748333137764,145
92,-205.3228983227752,-222.4882533676366,175
93,-224.4202102818858,-222.5088061007669,157
94,-166.5480250944912,-221.91974524806926,240
95,-135.54000074816014,-221.01995624286192,84
96,-166.72143942758873,-220.46017771899312,82
97,-156.74002902305728,-219.809972120055,70
98,-165.21506354911995,-219.25850839711626,81
99,-320.4880173056815,-220.2708034862019,263
100,-233.08171331873356,-220.94355992904772,178
101,-163.6666668851451,-222.3757758064954,95
102,-29.113345997162245,-219.73637909314726,300
103,-170.8788304852221,-220.56192424212406,118
104,-255.82888070292896,-223.17481441225945,181
105,-151.13853947928433,-221.89863293632982,164
106,-181.90190718529027,-222.43592816513492,134
107,-18.464754263283854,-219.54041948079714,300
108,-269.71089729714026,-219.29095781324762,194
109,-200.38880074443844,-218.2780510092485,133
110,-260.8728164959539,-217.9210539050815,164
111,-396.73750492734376,-219.3289719106964,244
112,-195.77871182929735,-218.342288457258,219
113,-439.5882060791055,-222.4129443865846,215
114,-171.1229886979927,-221.20448296178654,71
115,-311.57676267454127,-220.83257441409125,100
116,-127.88822899859481,-218.17264949214442,99
117,-104.63528067537555,-215.7421085584327,157
118,-174.07725572264852,-217.49363133864125,87
119,-132.86325850526572,-218.87125130999522,67
120,-247.4371266611669,-218.7178183500081,125
121,-147.03878700912435,-219.67641823188444,67
122,-124.61309389785865,-218.59995211634188,86
123,-137.91213657281813,-217.64074035933052,68
124,-130.884298838432,-211.9608180742129,193
125,60.00785412739292,-210.12958303996186,300
126,-162.9502946500241,-206.01310046787884,102
127,-117.6446855819846,-202.87718923969115,55
128,-215.5560382010597,-200.07220327289036,141
129,-65.106780277724,-194.98045508294334,300
130,-332.2073522248953,-189.6580680485777,112
131,-151.08270465797995,-191.75021260792633,91
132,-309.0979198041664,-193.6422190512177,140
133,-110.82563828508466,-191.3691886291949,166
134,-176.1527434689262,-192.99262241775844,88
135,-327.75532910930133,-193.67924610367893,143
136,-22.405275506186083,-191.5497485215641,300
137,-157.84551814087,-189.83190270801177,173
138,76.97817100643847,-187.30778959933158,300
139,-138.414826472168,-187.62373594065568,98
140,-135.48554716263916,-186.88085252244102,162
141,-211.9281249789714,-186.6268097191492,146
142,-160.7072604010117,-186.96898723095666,151
143,-377.9050421412041,-187.88580441203953,164
144,-179.05761497078413,-187.0461570915518,91
145,-183.95995294822276,-186.9054045782483,223
146,-216.24019227762716,-186.58360844418306,125
147,-172.22287304032383,-187.77873359499398,143
148,-229.26443544194007,-188.45134737914515,98
149,-80.32276617087085,-187.12517677623435,210
150,-145.01751772696716,-186.6088176326146,126
151,-306.3555786713257,-187.71593080158272,109
152,-53.249470831143185,-186.40124300222192,81
153,-277.89484668113187,-187.4016077023942,123
154,-193.64242302654299,-186.72870294609385,132
155,-119.16758025445804,-185.85095381059665,112
156,-368.71708700698076,-186.87002678105296,184
157,-217.00839892402792,-186.60473233436724,130
158,-215.79472840150868,-186.60287734633354,193
159,-128.38898910063358,-185.85331906305353,174
160,-221.38504045139513,-188.29061454404692,104
161,-255.23464407930925,-190.7134524591135,94
162,-115.32604615840468,-189.85440017302062,80
163,-290.9913642826707,-190.5490156052364,185
164,-195.43167328838805,-190.520096054885,87
165,-55.8910647498639,-188.84524670987628,112
166,-407.38060378221894,-190.53186648259626,164
167,-144.79884779964237,-191.32993767797092,133
168,-39.20465431491617,-189.36535493576298,70
169,-255.6912151345817,-189.39168127243462,165
170,-46.08218675686953,-187.96030661386806,91
171,-205.32308582504828,-187.9410063166219,221
172,-275.89480286296293,-188.66328939241157,165
173,-207.95782432523777,-189.0762628950805,114
174,-298.8383279533923,-189.17716595657362,87
175,-79.40797328037317,-186.89810295479163,67
176,-206.00346754847862,-186.02190210299742,138
177,-58.404451825975634,-184.51830244274487,107
178,-109.48053586956757,-183.30211373560115,96
179,-55.01764263518536,-181.74037341940362,138
180,-291.7886241191519,-182.77983837824712,111
181,-218.85435803656674,-182.75162624505225,106
182,-8.264521609278994,-181.0746227689663,300
183,-218.19418597342246,-179.7689091190189,131
184,-100.80489237295818,-178.93149089682657,134
185,-45.3801870607818,-177.44110552113608,108
186,-244.26949870961238,-179.6174860934667,137
187,-275.7752684519886,-180.04720831372882,147
188,-116.58830283464856,-179.1043190307641,229
189,-181.52015951319385,-180.9535290017285,175
190,-64.41826812159358,-179.6005101620203,231
191,-206.96471991964233,-179.3715442874908,163
192,-158.65394214841245,-178.9048547257472,165
193,-256.57343721130917,-179.2263869950414,118
194,-268.21624472123955,-180.2430691913089,97
195,-252.08556094667944,-181.40852479329408,105
196,-151.12039927085027,-181.25251439172672,107
197,-332.37413663623533,-183.0088554678585,102
198,-94.07211133725225,-182.2974259457398,151
199,8.137112824162273,-179.0111746444414,235
200,-232.23568388487544,-179.00271435010282,116
201,-199.05037773051396,-179.35655145855654,119
202,-283.2679267129258,-181.89809726571414,88
203,-67.9279661455893,-180.86858862231782,213
204,-216.53107014142734,-180.47561051670277,128
205,-242.11647095593577,-181.3853898314693,135
206,-206.1728213722949,-181.62809897333932,214
207,-231.12556865970507,-183.75470711730355,105
208,-195.2580581018109,-183.01017872535027,71
209,-301.1419110618165,-184.01770982852406,98
210,-94.07103372720209,-182.34969200083654,156
211,-249.75536562235473,-180.87987060778664,128
212,-394.14616301072726,-182.86354511960093,111
213,-228.26311431671223,-180.750294201977,141
214,-417.0321134364659,-183.20938544936178,199
215,-181.4338875184753,-181.9079566978011,198
216,-153.44209908878588,-182.16349539870302,149
217,-248.2295366758978,-183.59943795870822,91
218,-95.0465470105371,-182.80913087158714,84
219,-114.19577795911171,-182.62245606612555,102
220,-233.06179145482614,-182.47870271406217,103
221,-477.8215951252012,-185.78653079522294,105
222,-141.55230831812108,-185.9559229394256,88
223,-136.11853563673768,-185.9379869300648,197
224,-152.20386956835716,-186.15118263736403,94
225,-186.68922495215872,-188.61815342815953,178
226,-124.99700876633685,-188.23862056932262,174
227,-210.96093421212012,-189.171783055624,132
228,-105.04972381401559,-188.06671991175352,113
229,-277.0238181947988,-190.18589029092428,80
230,-124.08050412861516,-188.10462180996146,114
231,-259.4538487706842,-189.18833325108855,149
232,-298.3753170703527,-189.0811072237504,101
233,-88.94509686810102,-188.8623018095806,171
234,-258.57708888939374,-189.68654526378523,111
235,-229.35554336822076,-188.70254740637444,159
236,-302.94765735715487,-191.50797122488413,106
237,-202.17449126822945,-191.95126095615774,134
238,-310.9519062723936,-195.830561728946,100
239,-141.0313281679602,-195.85672674590396,178
240,-117.0417386838307,-195.67228866111589,130
241,-214.82112530136905,-195.70121866433982,238
242,-224.17065737420154,-196.33585263407176,115
243,-141.39580809441222,-193.97076029360386,57
244,-58.37265256855028,-192.76391066958152,84
245,-221.48511832399208,-193.13916232333924,201
246,-349.1248735278476,-194.46800913584138,167
247,81.1393777261342,-191.9343866281768,300
248,-72.85572355023163,-190.37029950925972,112
249,-130.00903359507035,-190.8671621835017,76
250,-99.97133464449206,-190.41670035267697,125
251,-71.38047623729517,-188.06694932833668,154
252,-237.9944285698074,-189.91439890572332,89
253,-235.94818638330014,-189.494932302745,120
254,-169.12373773081558,-189.24974544978772,273
255,-390.4653151146353,-191.96272279838948,261
256,-47.21218804964601,-188.7476738088161,166
257,-14.560128810719618,-186.72319110768305,174
258,-39.62137036355956,-184.96145752730354,141
259,-49.41546601809562,-184.17172229647815,133
260,-169.9861386180177,-183.6577332781444,135
261,-105.69928087367867,-182.16237964608808,72
262,23.956737298187534,-180.76955181152215,300
263,-96.62520042885473,-178.82589017298403,78
264,-197.35139484299987,-178.8450873885302,72
265,-58.885524351796846,-178.8750319845495,246
266,-71.01719008695585,-175.5113978475969,146
267,-185.60443614842524,-175.91945373108473,80
268,-234.5994743327681,-177.8734019312632,87
269,-260.11543703629343,-177.91764415028032,105
270,-63.7921903912254,-178.09474418662384,149
271,-78.59018765926163,-176.82741520496603,224
272,-184.66034187864008,-175.91507059512278,187
273,-16.771984051193215,-174.0032121923823,102
274,-231.49096768591286,-173.32973858970752,103
275,-158.71824570644023,-174.12284131396825,260
276,-134.89924195009695,-173.41179905798444,145
277,-100.85499251249061,-173.83630446484952,163
278,-217.46726755348243,-174.91617178168872,134
279,-25.03252025100771,-174.61632055784688,150
280,-282.50518253215284,-174.52348614197695,156
281,-121.14931386086509,-173.54643570021992,150
282,-101.20949731282211,-174.47588545725534,197
283,-20.16638045634886,-172.49560740208463,173
284,-93.20950520285245,-172.41965353038358,113
285,-349.5375813035828,-175.4612274728116,152
286,-119.23285751925462,-174.210861060908,120
287,-223.4089625984676,-173.68719800237278,160
288,-244.96846361555038,-174.9709996101818,120
289,-313.0321743465634,-176.28611975851553,91
290,168.67644945824247,-173.95517258271718,289
291,-80.60717304964757,-172.6915971140172,184
292,-84.36325510365035,-171.9486902435696,155
293,-252.3077007180729,-171.9060328786372,104
294,-32.49243939170182,-169.54879482534182,203
295,-196.62964578541914,-168.99423567372924,144
296,-309.13698598745094,-170.57440154089522,106
297,33.87220220983879,-166.9119381524345,300
298,-73.82881424093094,-166.70950518147126,134
299,-180.66220432127758,-168.59749835292564,102
300,-162.62592498285122,-167.9014007639054,180
301,-249.0870994722626,-168.40176798132288,130
302,-258.68829817995686,-168.15597169599317,148
303,-261.0166252321779,-170.0868582868591,116
304,-206.30549427673313,-169.9846025282122,220
305,-125.78626615105279,-168.82130048016333,238
306,-428.97669826746255,-171.049339249115,196
307,-112.70023675296089,-169.86508593004754,107
308,-124.83141035233662,-169.16081945255283,186
309,139.1383928461677,-164.75801641347294,300
310,-256.89185269163005,-166.38622460311726,133
311,-193.11454492777625,-165.81981639617143,141
312,-20.788175806424647,-162.08623652412842,132
313,-68.04140967660382,-160.48401947772732,162
314,-187.64604921990946,-158.1901588355618,83
315,-168.024985019879,-158.05606981057582,180
316,-70.7940965521443,-157.22958978520944,300
317,-94.67145420345213,-155.69400896048495,137
318,-245.8831769818697,-157.2023752601983,267
319,-139.09171485991163,-157.45133462920626,107
320,-246.67789436666877,-157.58749565832468,91
321,-57.61729179861268,-153.38545262505883,120
322,-173.91923104991048,-153.7091218523767,110
323,-250.8082991118659,-154.856019487128,137
324,-96.00264434258406,-154.2940072348703,208
325,-208.08176921897575,-154.50793267753846,143
326,-120.15454891830204,-154.4595080790581,179
327,9.602340044794943,-152.25387533648893,300
328,-214.1247890331403,-153.34462598868018,231
329,14.04852396564635,-150.4339025670757,300
330,-27.310755230196314,-149.46620507809152,300
331,-151.3554604871972,-148.38522119525666,77
332,-202.48107980256347,-147.42627882257878,111
333,-175.5587275096534,-148.29241512899432,126
334,-143.78197062372004,-147.14446394633757,79
335,-42.81711326061701,-145.2790796452615,151
336,-23.01009730040345,-142.47970404469402,300
337,-228.25269857850458,-142.74048611779676,103
338,-198.34076306368425,-141.6143746857097,122
339,-142.6515668492403,-141.63057707252247,141
340,-209.00020852972435,-142.55016177098142,253
341,-147.7940219972925,-141.87989073794068,107
342,-171.24405487685982,-141.35062471296723,121
343,-172.67510188999748,-141.6634176509231,141
344,-78.72352480164875,-141.86692637325407,259
345,-77.2636734595235,-140.4247119246094,136
346,-35.881383599026094,-137.29227702532117,121
347,-76.04843694643843,-138.86415517204694,92
348,-75.40155703932625,-138.88961350693785,166
349,-142.31379179372377,-139.01266108892438,63
350,-164.57057466161,-139.65865348909557,89
351,-212.0078312485631,-141.06492703920824,179
352,-115.97969020406128,-139.84477965555078,179
353,-145.83033871312188,-138.943601178849,155
354,-57.59967503315401,-137.82836055187238,126
355,-198.71583312904602,-135.9108657320165,132
356,-95.07244200585365,-136.38946827157858,114
357,-139.02354120106665,-137.63410239548205,149
358,212.7953283004437,-135.109935408842,261
359,-207.39334293873276,-136.68971417804835,147
360,-243.82033111227082,-137.4280561029909,145
361,-124.46823489031358,-137.61574564315725,246
362,-43.10006382907454,-138.28631365442988,89
363,92.48044394344365,-136.3952572107069,300
364,-333.9133254828157,-137.76087651710506,109
365,-204.4394062680908,-139.216415336268,126
366,-78.03858241075166,-139.28662925950596,231
367,-153.93696275458203,-138.96995452556752,84
368,-279.3267046681274,-139.41722682892112,234
369,-195.3163868889364,-138.76923632744754,85
370,-78.25418422935587,-138.91385626582883,157
371,-171.93271759891076,-139.8472815652253,78
372,-60.40061170591415,-138.6046842634981,186
373,-42.351398614312544,-138.86047840912929,300
374,-67.87141322886824,-137.22428286455883,141
375,-115.20643955083483,-136.78916480300276,235
376,-174.60499788785103,-137.18622236238033,177
377,-214.8870021618688,-138.3265424588741,152
378,-244.78671876704817,-138.59973697100975,292
379,24.786068382658506,-138.1015510846731,300
380,-166.89202886532735,-136.94541954800485,81
381,-62.92556944326623,-136.36318210382885,139
382,28.121733678307404,-135.06986979391758,300
383,-197.69980172409356,-136.84520400659503,87
384,-73.53524015863762,-136.64846135615284,91
385,-64.19474786387495,-133.79503302175578,90
386,27.789947080003557,-132.3248049757632,300
387,-49.872151495390064,-130.5894368647324,103
388,-203.70039539380963,-130.176756182515,97
389,-243.89338925574265,-129.4853683316068,127
390,-93.8699590005653,-132.11083241619485,188
391,-11.137667676727332,-131.41613736246566,84
392,-318.0408936637514,-133.75291374806667,94
393,-178.71192320324707,-133.01695597291842,85
394,-251.2471742708459,-135.20450332170986,112
395,-182.52848824552797,-135.06349174631094,123
396,-125.92309939459881,-133.23135288038242,131
397,-197.25423948923992,-135.54261729737323,95
398,-39.28254413906438,-135.19715459635455,178
399,-219.19844236000768,-135.58251697674186,100
400,-196.79830689184854,-135.92424079583182,104
401,-194.7036876586439,-135.38040667769567,269
402,-103.79386365389203,-133.831462332435,78
403,-194.068570165108,-133.16198178176427,126
404,-73.75015538769452,-131.8364283928739,152
405,-62.41448519376911,-131.20271058330104,165
406,-127.4768671815989,-128.1877122724424,108
407,-172.96483999489243,-128.7903583048617,183
408,-19.07647634156392,-127.73280896475403,300
409,-74.82846257557011,-129.87247751897138,169
410,-96.2550734089816,-128.26610972614492,183
411,95.6200131654958,-125.37876414521219,300
412,-212.94679233067555,-127.3003503104547,183
413,-133.61106876039702,-127.95604690129265,156
414,-239.4393451869039,-128.4739798609626,107
415,-246.49387962901943,-129.25866880705397,121
416,-165.0905961137811,-130.20163380267036,89
417,-229.7675745802257,-131.55259500643808,168
418,-108.22016988298745,-130.17596493544926,135
419,-132.44651651460825,-130.10951295199624,256
420,-243.54859122949884,-130.07821992062455,133
421,-201.9650810743713,-131.52169781338213,105
422,-328.2194059492899,-133.06469956237592,115
423,-273.3197544949279,-133.28981411620651,132
424,16.095594320555062,-132.16883172957515,300
425,-75.05944177880602,-130.83860845517344,259
426,-138.83079900189628,-131.02537095600937,212
427,-281.864522292149,-133.94003957937883,122
428,-230.05323658911826,-134.09932405493862,111
429,-212.36341795708458,-136.36344347416593,89
430,-73.82004523422827,-136.82853637420624,300
431,-73.82068673898937,-136.05318863672414,113
432,-115.73976155831471,-135.18577545428167,133
433,-202.49218103884664,-135.45510998957357,170
434,-192.84839541629225,-135.9457742374993,151
435,-129.52972822599662,-136.8129003871531,235
436,-222.0519018200044,-138.80331843234913,175
437,-78.44163088514483,-137.30520775541555,97
438,86.50104469011218,-134.45678967787757,300
439,-127.31239256786982,-134.30339793506386,128
440,26.091756060410386,-131.9524782891625,300
441,19.683235973662583,-130.277705709453,300
442,-26.348178727934638,-128.8287469479637,300
443,-242.79175581140214,-129.52991348717777,158
444,-12.979203546250908,-128.8724702746238,300
445,-163.4835629508085,-129.73466916953663,135
446,-218.07300351728102,-131.5565853687192,172
447,-80.51771667028791,-131.6012781659577,231
448,-245.50496841267,-133.30231227969114,115
449,-224.5119816828065,-134.12429417858195,143
450,-149.60984372401578,-133.974686869206,170
451,-214.47728147140415,-133.9993813714344,108
452,-149.46424489339017,-134.3342269183277,149
453,-6.733655212990882,-132.94326008332638,164
454,-223.2196887516966,-134.5994602205118,159
455,-136.79016131161418,-133.9802035023375,129
456,-177.13459024874942,-134.80082498476645,110
457,-149.49054166856544,-134.90549498944145,113
458,-231.02580601962362,-139.34370633264209,125
459,-294.95373230886213,-140.2193102263434,101
460,17.835954956536593,-137.60274736565532,300
461,-265.70757770219404,-139.01514079377415,120
462,-240.25782741869554,-140.98671842967036,235
463,-243.86541751056546,-144.35017704421045,209
464,-188.59714952842938,-142.8970152846666,80
465,-268.58743389485096,-143.5384955609342,231
466,-187.42552244928964,-144.63236496131955,129
467,-156.18403299984357,-144.65483566377216,143
468,-127.15425851324258,-143.13311120222332,276
469,-112.35025666973948,-142.30344990003135,228
470,-130.76380464193363,-142.8285461041571,144
471,-178.66045747284437,-142.89582350289646,165
