,ep_reward,avg_reward,steps
0,-41.8146679334681,-41.8146679334681,124
1,-489.38524854725244,-265.59995824036025,99
2,-384.5568930158294,-305.25226983218334,88
3,-126.6365126502636,-260.5983305367034,87
4,-2.4483136088802127,-208.96832715113874,77
5,-223.40075229580043,-211.3737313419157,98
6,-177.63109676242192,-206.5533549734166,67
7,-157.492296368384,-200.4207226477875,73
8,-270.06326696400106,-208.15878312736677,119
9,-163.14409532381504,-203.6573143470116,109
10,-420.2023426724738,-223.3432260129627,80
11,-15.103554408244804,-205.98992004590286,92
12,-344.4424983633646,-216.6401183780153,97
13,-186.03059963611045,-214.45372418216493,80
14,-157.0090980632762,-210.62408244090568,105
15,-242.07454636375718,-212.58973643608394,138
16,-186.4992574825697,-211.05500237999487,160
17,-267.3514079986619,-214.1825804699208,135
18,-209.56916271704148,-213.93976900924292,86
19,-227.96140711046465,-214.64085091430402,99
20,-190.67729286564017,-213.49972910246288,92
21,-220.96515275300965,-213.83906654112408,96
22,-199.47164694106456,-213.21439612373018,99
23,-164.55180417509607,-211.1867881258705,120
24,-195.8306479859528,-210.57254252027377,88
25,-270.5679076870114,-212.8800565651483,72
26,-160.7801523012146,-210.9504304812989,133
27,-5.583674223891521,-203.6159034721058,167
28,-127.23829898481266,-200.98219297254397,84
29,-116.82877878923566,-198.17707916643369,68
30,4.775586428426408,-191.63021898595434,101
31,-233.5001986341872,-192.9386558499616,128
32,-127.55747251422804,-190.9574078700909,112
33,-239.83403193167135,-192.39495563660796,163
34,-123.9971327110821,-190.44073212445008,410
35,-206.97295375721288,-190.89996050313795,80
36,-237.31498579144338,-192.15442064606512,123
37,-203.90075258213994,-192.46353464438286,96
38,-222.59211629427875,-193.23606237899557,126
39,-214.86561583638633,-193.77680121543034,104
40,-73.23653251912197,-190.83679466186186,113
41,-168.54918973037132,-190.30613740158827,93
42,-169.86828055452176,-189.83083840514485,99
43,-108.30174523551261,-187.97790446947138,100
44,-375.56466232737114,-192.14649908853582,174
45,-103.40774627796894,-190.217395766567,97
46,-382.99298298112365,-194.3190040051746,119
47,-161.42233179471447,-193.63365666745668,305
48,-176.0283761749971,-193.27436522883508,78
49,-21.645762072223278,-189.84179316570282,79
50,-153.50498373396022,-189.12930670625693,67
51,-160.40757364147066,-188.57696568578027,116
52,-118.1445019647885,-187.24805127595025,98
53,-56.88318875402447,-184.8338871551738,96
54,-229.15488021067893,-185.63972339254664,73
55,-720.210787632561,-195.18563525397545,101
56,-296.7624699017077,-196.9676849846374,212
57,-218.2299119379805,-197.33427510452262,150
58,-251.09478660295466,-198.24547021466554,185
59,-38.71552295711653,-195.58663776037304,120
60,-246.87697249983827,-196.42746292003642,197
61,-87.45470790749582,-194.669837839189,302
62,-223.87549910233295,-195.1334197640008,140
63,-207.38408946283178,-195.32483647804503,173
64,-291.8406968507551,-196.8096958683944,103
65,-328.2016771876443,-198.80048346414063,189
66,-190.12472444921377,-198.67099452361933,85
67,-255.35000848151384,-199.50450943476483,132
68,-223.70780350496472,-199.8552818125938,119
69,-150.8837472562339,-199.15568846178866,132
70,-357.3380680253501,-201.38360930071207,103
71,-464.24290769530836,-205.0344328895259,89
72,-452.29546437693637,-208.4215703071617,83
73,-291.48074287696375,-209.54399155810495,94
74,-418.05477926737177,-212.3241353942285,107
75,-346.4696378554719,-214.08920779503435,107
76,-287.88346172958137,-215.04757472924922,51
77,-348.65031068282866,-216.76043031839768,108
78,-312.2497390505798,-217.96915574538733,100
79,-221.9561977546246,-218.01899377050282,70
80,-209.76829093982485,-217.917133241729,100
81,-445.5543136705268,-220.69319641768996,90
82,-381.6794553765915,-222.63278989912249,73
83,-250.51721230994212,-222.96474730877512,84
84,-260.86914965241135,-223.41068145399439,124
85,-157.08625610573654,-222.63946720575882,63
86,-148.64104767964943,-221.7889106594817,104
87,-163.9282345381866,-221.13140297628516,111
88,-215.8458552204649,-221.07201479925348,93
89,-80.92932515268268,-219.51487380318048,89
90,-88.60974614921334,-218.07635591687315,171
91,-118.02695667637798,-216.98886244686776,148
92,-65.7796249260597,-215.36295666707414,133
93,-7.234457881786071,-213.14882370127322,206
94,46.042513864822304,-210.42049383215644,500
95,-17.64127066794714,-208.41237692419585,182
96,-78.67610733717743,-207.07488960886576,242
97,-113.96812754420367,-206.12482060820597,228
98,-43.42980006805001,-204.4814365623458,98
99,-20.70796033829845,-202.64370180010533,96
100,-84.43597562519085,-203.06991487702257,107
101,-12.915378649302738,-198.30521617804305,83
102,-78.53645566457716,-195.24501180453055,98
103,-86.87258022359406,-194.8473724802638,208
104,-113.32599446598445,-195.95614928883487,162
105,-285.6043069638431,-196.5781848355153,68
106,-128.50712206041234,-196.08694508849518,129
107,-67.08394405009642,-195.18286156531235,213
108,-140.47299642519147,-193.88695885992428,220
109,-198.56516284756162,-194.24116953516167,99
110,-190.37866584524863,-191.94293276688947,286
111,2.9737850940713884,-191.7621593718663,224
112,-108.02587007875248,-189.39799308902013,372
113,-224.0072165356673,-189.77775925801572,117
114,-4.767637351496035,-188.25534465089794,123
115,-195.57993051186122,-187.79039849237896,99
116,-159.27754455251699,-187.51818136307847,111
117,-64.27359393564849,-185.48740322244834,172
118,-196.2393551012237,-185.35410514629018,114
119,-119.2633007591501,-184.26712408277706,268
120,-114.46965007189854,-183.50504765483961,249
121,-198.56915255837225,-183.28108765289326,132
122,-220.83416678968692,-183.4947128513794,96
123,-211.43257066174237,-183.9635205162459,86
124,-110.5307055000658,-183.11052109138703,227
125,-426.65114191022826,-184.67135343361917,86
126,-77.82677723175672,-183.8418196829246,64
127,-114.94319383445679,-184.93541487903025,246
128,-186.60829211852857,-185.52911481036742,98
129,-308.59034536409365,-187.44673047611602,88
130,-212.2268567805429,-189.61675490820573,108
131,-106.87174332927772,-188.3504703551566,78
132,-204.10275720588314,-189.11592320207316,118
133,-91.82437550677206,-187.63582663782418,86
134,-136.88114447796025,-187.7646667554929,104
135,-149.38185133392267,-187.18875573126002,105
136,-67.35954434885204,-185.48920131683408,83
137,-86.50935600952087,-184.3152873511079,116
138,-125.33616473456898,-183.3427278355108,91
139,-100.49156745348931,-182.19898735168186,329
140,64.98499363372785,-180.81677209015336,500
141,-176.46938569913596,-180.89597404984102,389
142,64.70187462188397,-178.55027249807696,500
143,-2.4471996340500177,-177.49172704206234,500
144,10.12465139930715,-173.63483390479553,500
145,95.99401147044544,-171.6408163273114,500
146,-83.59892647686884,-168.6468757622689,140
147,79.8903593252102,-166.2337488510696,500
148,-58.94691183000558,-165.06293420761966,116
149,-23.033381541943484,-165.07681040231688,161
150,11.72716233238877,-163.4244889416534,500
151,-25.805019084266853,-162.07846339608136,500
152,43.162317425418784,-160.46539520217928,500
153,65.8992238510726,-159.23757107612835,500
154,-42.77140059921837,-157.3737362800137,500
155,-118.6874502714792,-151.35850290640292,438
156,-109.15326664164331,-149.48241087380225,382
157,-85.040498655911,-148.15051674098157,244
158,33.175956477777625,-145.30780931017426,500
159,-77.40292696249357,-145.694683350228,500
160,-11.608075886208471,-143.34199438409172,500
161,-33.64525219926284,-142.80389982700936,500
162,-194.36522988027036,-142.50879713478878,441
163,10.11256375848333,-140.33383060257563,500
164,44.076467101105024,-136.974658963057,500
165,30.58777693267456,-133.3867644218538,500
166,-170.07678276780894,-133.18628500503976,308
167,2.158837070573924,-130.6111965495189,500
168,32.2905756607234,-128.051212757862,500
169,-8.522848382384899,-126.62760376912351,500
170,-4.560868584301904,-123.09983177471304,500
171,-3.336314394602181,-118.49076584170598,500
172,-30.80469011870097,-114.27585809912361,500
173,56.35572810628174,-110.79749338929116,500
174,-13.108768649317453,-106.74803328311062,500
175,25.177003857679097,-103.03156686597909,500
176,16.797523839406892,-99.98475701028923,500
177,2.9240217375239244,-96.4690136860857,500
178,-0.4897135817584034,-93.3514134313975,500
179,61.94783795188275,-90.51237307433243,500
180,-10.547518145875244,-88.52016534639293,500
181,8.273723477160836,-83.98188497491604,500
182,45.80730720024911,-79.70701734914765,500
183,18.015604650937885,-77.02168917953884,500
184,-4.790733381724058,-74.46090501683196,500
185,-8.09197489714491,-72.97096220474604,500
186,-10.643706031099638,-71.59098878826055,500
187,12.623213462921095,-69.82547430824947,500
188,-18.96160649084271,-67.85663182095327,500
189,-5.376993387525885,-67.10110850330167,500
190,73.79464774234883,-65.47706456438605,500
191,-1.6473505570124276,-64.31326850319239,500
192,72.16447161423847,-62.93382753778942,500
193,-115.33804991167678,-64.01486345808831,473
194,44.613046661698114,-64.02915813011957,500
195,40.524218268338,-63.447503240756724,500
196,64.55389291965473,-62.0152032381884,500
197,-56.119408424880504,-61.43671604699518,500
198,-33.37588589085839,-61.33617690522326,500
199,-3.2438993681929897,-61.161536295522204,500
200,-24.28737724449189,-60.560050311715216,500
201,-16.04041898949966,-60.59130071511718,500
202,56.49954540078673,-59.24094070446354,500
203,33.761209608064625,-58.03460280614695,500
204,115.95004401092186,-55.74184242137789,500
205,83.47404390647007,-52.051058912674755,500
206,-14.328700521882672,-50.909274697289455,500
207,-24.09506329264423,-50.47938588971493,500
208,-20.067036358971325,-49.275326289052735,500
209,114.61710336056052,-46.143503626971516,500
210,69.24956220956471,-43.54722134642338,500
211,-2.6354138478824862,-43.60331333584292,500
212,-6.125321706757226,-42.58430785212297,500
213,13.327552299603513,-40.21096016377026,500
214,82.47014934327842,-39.33858229682251,500
215,-68.88249899757335,-38.071607981679634,500
216,-100.06909434488058,-37.47952347960327,408
217,63.397846803112785,-36.202809072215665,500
218,-45.99254202931243,-34.70034094149655,500
219,-112.38766726045071,-34.63158460650956,447
220,-132.7392912036782,-34.81428101782735,434
221,-148.7915660098352,-34.316505152341975,425
222,-62.85339853438308,-32.736697469788936,500
223,-129.37588722437675,-31.916130635415275,294
224,14.978163006574457,-30.661041950348878,500
225,-110.45512232894806,-27.49908175453608,500
226,-90.69510167850973,-27.627764999003606,273
227,-180.251256469282,-28.280845625351862,373
228,79.73068283490849,-25.617455875817495,500
229,-190.42930311840172,-24.43584545336057,306
230,213.36573490659026,-20.179919536489237,436
231,126.36280077838943,-17.84757409541257,500
232,244.82681454843828,-13.358278377869356,312
233,137.06885321257053,-11.069346090675928,500
234,156.0352571527928,-8.140182074368399,500
235,24.42087374935407,-6.402154823535628,500
236,172.95077381464918,-3.999051641900617,500
237,62.10084728175053,-2.5129496089879018,500
238,151.7695093733929,0.2581071320917161,500
239,36.782856884738315,1.6308513754739915,500
240,232.20746897157417,3.303076128852455,267
241,278.9168968547773,7.8569389543915875,366
242,256.35746498821743,9.773494858054923,463
243,137.02707101908877,11.16823756458631,500
244,226.98119905229493,13.336803041116186,352
245,120.66418773411186,13.583504803752852,500
246,124.24724300712016,15.66196649859274,500
247,138.1730567318645,16.244793472659286,500
248,264.1665538180338,19.475928129139678,407
249,249.41237868028298,22.200385731361944,403
250,261.3809322005544,24.696923430043597,311
251,274.770983458021,27.702683455466477,492
252,275.26098262469395,30.02367010745923,355
253,270.37874936158664,32.06846536256437,312
254,292.0711589331505,35.416890957888064,303
255,272.69896804721793,39.330755141075024,328
256,264.2170958646425,43.06445876613789,253
257,228.57267453831608,46.20059049808017,278
258,279.5050531415021,48.6638814647174,353
259,249.95740384132455,51.93748477275558,339
260,219.8322658638811,54.25188819025649,331
261,255.98787465724416,57.14821945882154,268
262,191.5892776315122,61.00776453393938,408
263,64.83279297848443,61.55496682613938,500
264,233.55065386740324,63.44970869380238,375
265,264.7348848197846,65.79117977267347,271
266,63.905729132126616,68.13100489167283,500
267,258.6580686586983,70.69599720755407,333
268,279.27837882750646,73.1658752392219,442
269,233.90907110851725,75.59019443413092,247
270,260.99702257905454,78.2457733457645,285
271,258.1383543041303,80.86052003275181,225
272,56.90730382536446,81.73763997219247,500
273,148.09574652104598,82.6550401563401,500
274,238.70059393383679,85.17313378217166,275
275,217.9823356864381,87.10118710045923,287
276,148.2501531506087,88.41571339357125,500
277,-45.65592945161819,87.92991388167984,500
278,-170.61021857375215,86.22870883175992,480
279,-246.1538761144014,83.14769169109707,335
280,252.03174034292476,85.77348427598507,289
281,-69.9976061833638,84.99077097937979,500
282,-177.9633465707485,82.75306444166985,325
283,-78.14731731941934,81.79143522196628,500
284,-176.64249130424463,80.07291764274106,465
285,-194.20009888446145,78.2118364028679,306
286,-238.1656593328289,75.93661686985061,314
287,-109.76747816923825,74.712709953529,145
288,-185.10062323192494,73.05131978611819,362
289,-151.7127156441423,71.58796256355203,129
290,-151.79080633717027,69.33210802275681,134
291,-201.01856579947815,67.33839587033216,440
292,-182.74735653812152,64.78927758880857,437
293,253.4657436177976,68.47731552410332,430
294,-52.94999451243302,67.50168511236201,500
295,224.5628324966744,69.34207125464536,330
296,-102.67433161153217,67.6697890093335,141
297,195.7153735547156,70.18813682912945,356
298,246.36765529539704,72.985572240992,253
299,-121.8580512852734,71.79943072182121,423
300,237.16949752319954,74.41399946949812,380
301,-20.01515249291235,74.374252134464,500
302,217.70093775205785,75.9862660579767,372
303,-24.842346704373597,75.40023049485232,500
304,-70.34935207256333,73.53723653401747,140
305,175.1240195932375,74.45373629088515,276
