,ep_reward,avg_reward,steps
0,-42.15727939931744,-42.15727939931744,112
1,-256.27640254394726,-149.21684097163234,131
2,-542.1778123990558,-280.20383144744017,73
3,-603.0588592608001,-360.9175884007801,67
4,-503.04170583365845,-389.34241188735575,68
5,-476.7952715566997,-403.9178884989131,62
6,-498.0443341468002,-417.3645235914684,66
7,-460.4493621588886,-422.75012841239595,52
8,-342.2619525772027,-413.8069977640411,51
9,-708.6658120248974,-443.29287919012677,80
10,-492.56183600409486,-447.77187526412393,63
11,-757.4349265783444,-473.57712954030893,74
12,-620.0524607800716,-484.84446271259833,65
13,-697.3124052286743,-500.0207443208895,84
14,-376.3982690450901,-491.7792459691695,53
15,-445.75663698489365,-488.9028329076523,75
16,-479.947108896339,-488.3760256128691,61
17,-380.7743004138689,-482.3981519907024,78
18,-128.6272826935152,-463.7786325540083,84
19,-141.46139123913358,-447.6627704882646,55
20,-159.50763354094565,-433.941097300297,81
21,-210.38298372040896,-423.77936486484754,67
22,-376.1302802113277,-421.7076655320858,102
23,-492.71603289518265,-424.66634750554823,63
24,-717.707748653198,-436.38800355145423,73
25,-490.06322682160624,-438.45243521569085,67
26,-121.92394105637193,-426.7291576542346,81
27,-124.64938206119126,-415.9405942401973,61
28,-135.4764455717155,-406.26941669990487,63
29,-150.1918575140112,-397.7334980603751,55
30,-145.09849792097145,-389.5839819268459,52
31,-106.22801687872283,-380.7291080190921,59
32,-133.5391408639219,-373.23850295378395,60
33,-124.38829449597696,-365.91937917561313,58
34,-93.02544764429766,-358.1224097032898,56
35,-176.1390935542954,-353.06731758803994,72
36,-102.06629061598682,-346.28350604825476,50
37,-151.1842300701553,-341.1493145751469,73
38,-106.39972276456709,-335.1300942723115,61
39,-110.32481906145688,-329.5099623920401,59
40,-110.93648866176594,-324.17890205715537,53
41,-119.42945627334245,-319.3039152527789,63
42,-149.3279140145154,-315.3509849914239,75
43,-134.27571392844848,-311.2356379218108,67
44,-126.31085903518793,-307.12619839099693,59
45,-122.89458449283158,-303.12116330625423,62
46,-137.13909689041603,-299.5896299782577,66
47,-98.8513775632911,-295.4075830529459,81
48,-106.87549753513628,-291.5599894709498,54
49,-122.04545475366703,-288.16969877660415,68
50,-96.15483064552824,-284.4047013622693,88
51,-137.14248172679913,-281.57273560004876,82
52,-101.08229220180398,-278.1672555359309,58
53,-142.1769160508473,-275.64891591583677,80
54,-145.6586615049252,-273.2854567447293,79
55,-156.24004849967224,-271.1953601689247,60
56,-144.6798646249942,-268.97579007166274,86
57,-136.73400749676546,-266.6957593376128,64
58,-111.49649028249031,-264.0652632519328,66
59,-155.5445525588667,-262.2565847403817,53
60,-160.73619094822803,-260.59231598969063,68
61,-111.4831485629002,-258.1873294182908,63
62,-126.19780724909754,-256.0922576378274,60
63,-126.31767118736435,-254.0645297245389,55
64,-144.5079738739475,-252.37904424991441,50
65,-121.30841077264108,-250.39312556086483,61
66,-133.78972796010117,-248.652776342943,80
67,-146.1915817417353,-247.14599406939584,59
68,-224.10628510160893,-246.81208524377575,84
69,-124.99727993937637,-245.0718737394272,84
70,-165.93308284939968,-243.95724288182114,65
71,-134.14149306123633,-242.432024134313,76
72,-159.18585541329458,-241.29166565868263,62
73,-123.91882329846653,-239.70554616732835,87
74,-190.24415219792417,-239.04606091440297,73
75,-152.7010164884739,-237.90994190879863,70
76,-201.53493332987367,-237.43753919998142,83
77,-135.7444119739858,-236.1337811586225,54
78,-152.08334234150982,-235.06985155334257,65
79,-134.31238862952597,-233.81038326679487,72
80,-433.61590509918847,-236.27711810423182,122
81,-134.9988466131498,-235.04201723238936,52
82,-158.65949289615548,-234.1217458548444,66
83,-124.21830123365126,-232.8133715141159,74
84,-153.23634034807773,-231.8771711474566,84
85,-128.5041349626188,-230.67515909879572,84
86,-85.10451582944206,-229.0019333140905,102
87,-125.87387632132001,-227.8300235755363,84
88,-124.97843308905192,-226.67438772737353,71
89,-165.0460567642977,-225.98962849445047,75
90,-99.98610194393528,-224.60497435653272,58
91,-146.75466079536886,-223.7587752960853,52
92,-121.05007992890582,-222.65438072224467,83
93,-152.96715684371497,-221.9130272767284,63
94,-148.07537263702827,-221.1357888068368,54
95,-118.59298151354149,-220.0676345641983,50
96,-150.77111764639696,-219.35323748257147,76
97,-148.65262737647504,-218.63180268557048,67
98,-107.61854302808307,-217.51045662842415,56
99,-165.81894196825726,-216.99354148182246,90
100,-124.65856210813882,-217.8185543089107,71
101,-147.54836556985495,-216.7312739391698,63
102,-147.82795944194112,-212.78777540959865,70
103,-143.73087952616984,-208.19449561225235,51
104,-125.38219883429934,-204.4179005422588,87
105,-166.71666669176702,-201.31711449360944,86
106,-133.85153553859624,-197.6751865075274,70
107,-140.06225840508458,-194.47131546998935,82
108,-139.12295280814408,-192.4399254722988,54
109,-138.92430639135463,-186.74251041596338,52
110,-110.81789272499338,-182.92507098317233,59
111,-146.79214209795998,-176.8186431383685,60
112,-118.13009701671943,-171.79941950073496,70
113,-119.37827025671126,-166.02007815101533,82
114,-114.91768496976478,-163.4052723102621,85
115,-144.64964675252233,-160.39420240793837,53
116,-118.25211923305089,-156.77725251130548,71
117,-111.52815439297814,-154.08479105109657,59
118,-116.3778700852122,-153.96229692501353,84
119,-177.1881813378607,-154.3195648260008,84
120,-173.6133550523591,-154.46062204111496,73
121,-95.56674284874822,-153.31245963239834,53
122,-129.73523800382358,-150.8485092103233,53
123,-127.5268839397352,-147.1966177207688,60
124,-148.53412011934424,-141.5048814354303,75
125,-128.0879092268975,-137.8851282594832,82
126,-153.65108698312105,-138.20239971875068,72
127,-155.9499478846874,-138.51540537698565,71
128,-125.3701334927105,-138.4143422561956,72
129,-142.131911095735,-138.33374279201288,64
130,-140.82805237984422,-138.29103833660156,82
131,-95.06101183182766,-138.17936828613261,54
132,-151.18412756515121,-138.3558181531449,64
133,-120.82461500555831,-138.32018135824072,49
134,-146.02140658824231,-138.8501409476802,69
135,-143.19887917799264,-138.52073880391714,64
136,-145.87094429018822,-138.95878534065915,83
137,-140.41519546773048,-138.8510949946349,65
138,-134.23474277964317,-139.1294451947857,57
139,-115.51460668736411,-139.18134307104475,54
140,-167.42971915062216,-139.74627537593332,78
141,-131.993341393854,-139.87191422713843,55
142,-120.33443080239668,-139.58197939501724,50
143,-122.59894868847388,-139.4652117426175,56
144,-145.59686788101817,-139.6580718310758,65
