,ep_reward,avg_reward,steps
0,-246.0218318796545,-246.0218318796545,90
1,-132.68344865156175,-189.35264026560813,96
2,-192.3412847756359,-190.34885510228403,118
3,-83.39222655378434,-163.6096979651591,172
4,-210.0620526259283,-172.90016889731297,93
5,-185.50473287665696,-175.00092956053697,111
6,-116.89671869888826,-166.70032800887287,88
7,-87.01902149333112,-156.74016469443015,66
8,-101.49875005602803,-150.6022297346077,89
9,-207.46105249065772,-156.2881120102127,98
10,-192.67043332740496,-159.59559576632108,96
11,-496.0295489140382,-187.63175852863083,114
12,-152.911635312358,-184.96097981968677,102
13,-387.39451583390456,-199.42051810641664,125
14,-74.76821102526614,-191.1103643010066,81
15,-403.192664232036,-204.36550804669594,101
16,-112.27376314999991,-198.9483465821844,82
17,-395.7084827927212,-209.87946526054756,179
18,-286.49602829402414,-213.91191594652,82
19,-95.1212838346269,-207.97238434092537,115
20,-528.1287314432752,-223.2179246791325,112
21,56.597701984542425,-210.49903255805637,93
22,-275.02646162634767,-213.3045729523299,61
23,-160.8084044003578,-211.1172325959977,116
24,-180.36590876777865,-209.88717964286894,75
25,-99.19227488828089,-205.62968330615402,76
26,-277.2862489581728,-208.28363018215472,136
27,-107.0908785185191,-204.66960333702488,91
28,-339.0717742215204,-209.3041609537316,83
29,-166.176713829906,-207.8665793829374,88
30,-341.5732067667757,-212.1796963953193,171
31,-83.40128404462955,-208.15537100936024,116
32,-282.60352791184346,-210.41137576398094,98
33,-62.55202496422926,-206.06257132869413,70
34,-256.5617932168783,-207.5054062397851,89
35,-409.7148308488773,-213.1223347011488,100
36,-386.89662184844775,-217.81893705648116,92
37,-51.5838277182386,-213.4443289160011,197
38,-85.82726255631044,-210.17209644523982,98
39,-98.40899308026665,-207.37801886111546,102
40,-152.56004028049227,-206.04099499329539,121
41,-342.23814740200703,-209.28378433635996,170
42,-67.97645360026986,-205.9975673424974,80
43,-399.39726776858964,-210.39301507945402,138
44,-341.82260103809523,-213.3136725452016,88
