,ep_reward,avg_reward,steps
0,-352.97352446599865,-352.97352446599865,89
1,-261.2129380221025,-307.09323124405057,112
2,-357.82616089727355,-324.0042077951249,91
3,-37.01121956827528,-252.25596073841248,70
4,-159.0493424101288,-233.61463707275576,94
5,-288.0779180028988,-242.69185056111291,101
6,-139.6626153526706,-227.9733883884783,93
7,-154.92394629920847,-218.84220812731957,72
8,-85.1473091668538,-203.98721935393448,62
9,-258.42096353248394,-209.43059377178943,89
10,-329.902718270553,-220.38260508985886,110
11,-314.94649013905695,-228.2629288439587,100
12,-183.04182753386195,-224.78438258933588,118
13,-90.06434470469769,-215.16152274043316,89
14,-458.2896326207311,-231.3700633991197,92
15,-85.97294618228574,-222.28274357306753,79
16,-67.23611798384111,-213.16235383252481,66
17,-121.24126795919304,-208.05562683956194,106
18,-297.4981583818885,-212.7631284996844,98
19,-55.00996474366406,-204.87547031188336,66
20,-98.47000328658926,-199.80854331067889,116
21,-79.1317397491803,-194.3232340578835,92
22,-104.01173869560034,-190.3966473030016,70
23,-162.19011974876003,-189.2213753215749,83
24,-83.00994445942474,-184.97291808708889,90
25,28.032475878626315,-176.78040293456135,91
26,-58.086361530058284,-172.38432732698718,74
27,-108.76915261031861,-170.11235680139188,78
28,-246.217617289286,-172.73667612856065,130
29,-240.68016459619483,-175.0014590774818,105
30,-119.32258642692358,-173.20536641133475,108
31,-106.66150281650172,-171.12587067399622,88
32,-95.86350357587752,-168.84519288314414,85
33,-189.33700655671043,-169.44789328530783,133
34,-116.76018858166637,-167.94253029377523,74
35,-180.00273266557704,-168.27753591521417,103
36,-83.85720313028907,-165.9959052994054,73
37,-37.44882643464615,-162.61308743454333,89
38,-142.68670183487217,-162.1021544704492,110
39,-32.509452916742745,-158.86233693160654,67
40,-279.9555745014392,-161.81583053087076,107
41,-158.90688250032792,-161.74656986347685,125
42,-128.11433510000074,-160.96442486897743,118
43,-93.21525488530669,-159.42467100571218,66
44,-193.50663283658318,-160.18204793528707,105
45,-291.3380188952975,-163.0332646952873,114
46,-139.06788672241765,-162.52336303629008,89
47,-375.9152094689965,-166.9690265036381,122
48,-122.45674599491025,-166.06061261570488,127
49,-9.489156369151644,-162.92918349077382,134
50,-88.42722527776063,-161.46836078071473,87
51,-116.03519767715122,-160.59464610564618,114
52,-74.68846463358338,-158.9737747571167,72
53,-154.82130082021655,-158.89687709161856,87
54,-92.57938185053601,-157.6911044508716,70
55,-111.91685663474891,-156.8737071684409,72
56,-113.77710783957349,-156.11762647846075,129
57,-362.3110531639774,-159.6726855592455,163
58,-73.91853989463863,-158.21922546323523,83
59,-87.54876065079763,-157.04138438302795,106
60,-151.42678089186512,-156.94934170284495,112
61,-164.1335775901884,-157.06521647522146,144
62,-136.65432363075925,-156.74123404911887,160
63,-473.57617527452925,-161.6917800057659,146
64,-313.41125604099676,-164.0259257909233,98
65,-384.6071408174248,-167.36806541253696,113
66,-57.74658206044102,-165.73192386996837,111
67,-278.05358224665383,-167.38371296374316,82
68,-251.37880415649133,-168.60103312595692,91
69,-107.7306880396034,-167.73145676758043,180
70,-70.6403078126832,-166.36397579638466,123
71,-323.7575556896927,-168.5499977393473,176
72,-113.61984272415307,-167.7975298624268,113
73,-70.12526377620166,-166.4776343747751,193
74,-272.16614997304714,-167.88681458275207,155
75,-288.9936424591852,-169.48032547586303,107
76,-60.639346173875204,-168.0668062641489,81
77,-75.79841988855749,-166.8838782336926,125
78,-40.50751915772511,-165.28417748589555,160
79,-74.93015639672318,-164.1547522222809,156
80,-97.24588586131158,-163.32871683510845,75
81,-421.3556805646806,-166.47538712449347,134
82,-90.56959729137537,-165.56085953614263,188
83,-383.78101961317134,-168.1587185846787,132
84,-79.4590551924619,-167.11519313300556,121
85,-263.2078810180476,-168.23254996887815,290
86,-262.81427347708876,-169.31969621609895,122
87,-44.59612414095723,-167.90238289706326,134
88,-247.55051290262836,-168.79730570611454,162
89,-294.7098778971438,-170.19633428601486,220
90,-109.91095315013752,-169.533857570236,200
91,-93.53816834293913,-168.7078174699393,253
92,-194.7419350917875,-168.98775421856132,267
93,-299.46980848317673,-170.3758611788232,240
94,-80.8540818586291,-169.43352665966324,162
95,-71.57838709149955,-168.41420228916155,83
96,-320.73114801212796,-169.98448008012,180
97,-124.37276127672098,-169.5190543780445,190
98,-282.9928136272788,-170.6652539664206,82
